event_id,event_type,event_subtype,name,start_date,end_date,region,source_name,source_url,notes
E202506_HEAT,heat_stagnation,heat,2025年6月西部区域高温事件,2025-06-01,2025-06-30,西北/青藏高原/川渝,国家气候中心,https://bcc.ncc-cma.net/news/index/1206,2025年6月高温快速归因事件
E20250411_STRONGWIND,strong_wind,,2025年4月11-13日北方大范围极端大风,2025-04-11,2025-04-13,西北地区东部/内蒙古中西部/甘肃/青海北部,中国气象局,https://www.cma.gov.cn/ztbd/2025zt/tqzt/2014072109/202504/t20250412_6995396.html,大范围极端大风过程
E20250410_SANDSTORM,sandstorm,,2025年4月10-14日西北强沙尘暴,2025-04-10,2025-04-14,甘肃河西/宁夏/内蒙古西部/新疆东部,应急管理部,https://www.mem.gov.cn/xw/yjglbgzdt/202505/t20250512_532571.shtml,强沙尘暴与大风复合过程
E20250123_COLDWAVE,cold_wave,,2025年1月23-27日西北寒潮雨雪,2025-01-23,2025-01-27,新疆/西北地区东部/青海/川西高原,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xzytq/202501/t20250120_6810814.html,寒潮雨雪大风过程
E20241125_NORTH_COLD_AIR_WIND,strong_wind,,2024年11月下旬北方冷空气大风过程,2024-11-25,2024-11-28,内蒙古/华北/东北/黄淮,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202503/W020250302606211127018.pdf,强冷空气影响北方多地，出现大风、降温和局地沙尘天气。
E20240705_EAST_CHINA_THUNDERSTORM_HAIL,hail,,2024年7月上旬华东冰雹过程,2024-07-05,2024-07-08,江苏/安徽/浙江/上海,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202503/W020250302606211127018.pdf,华东多地出现大风、短时强降水和局地冰雹等强对流天气。
E20240618_YANGTZE_MEIYU_HEAVYRAIN,heavy_rain,,2024年6月中下旬长江中下游梅雨暴雨过程,2024-06-18,2024-06-30,湖北/安徽/江苏/浙江/江西,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202503/W020250302606211127018.pdf,梅雨期长江中下游出现持续性强降水，部分地区发生暴雨洪涝。
E202406_XJ_HEAT,heat_stagnation,heat,2024年夏季新疆持续高温,2024-06-01,2024-08-31,新疆,新疆气象局,https://xj.cma.gov.cn/xwzx/qxyw/202409/t20240914_6583653.html,夏季平均气温与2023年并列1961年以来最高
E202406_NORTH_CHINA_DROUGHT,drought,,2024年夏季华北黄淮阶段性气象干旱,2024-06-01,2024-07-20,华北/黄淮/陕西关中,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202503/W020250302606211127018.pdf,高温少雨叠加导致华北黄淮部分地区出现阶段性气象干旱。
E202406_NATIONAL_HEAT,heat_stagnation,heat,2024年夏季全国区域性高温过程,2024-06-01,2024-09-30,华北/黄淮/江淮/江南/华南,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/202502/t20250228_6886278.html,2024年全国平均气温偏高，区域性高温过程影响范围广、持续时间长。
E20240419_GD_HEAVYRAIN,heavy_rain,,2024年4月19-23日广东持续性暴雨过程,2024-04-19,2024-04-23,广东中北部/珠三角,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202503/W020250302606211127018.pdf,广东出现持续性暴雨到大暴雨，局地特大暴雨并伴随强对流。
E202404_XJ_WIND,strong_wind,,2024年4月新疆强风沙过程,2024-04-01,2024-04-30,新疆,新疆气象局,https://xj.cma.gov.cn/xwzx/qxyw/202501/t20250115_6801676.html,强风沙席卷新疆多站风速刷新同期极值
E20240327_NORTH_SANDSTORM,sandstorm,,2024年3月27-28日北方大风沙尘过程,2024-03-27,2024-03-28,内蒙古/山西/河北/京津/东北西部,中国气象局,https://www.cma.gov.cn/wmhd/2011wzbft/2011wftzb/202403/t20240328_6164747.html,北方多地出现扬沙或浮尘，内蒙古局地出现沙尘暴或强沙尘暴。
E20240327_NORTH_GALE,strong_wind,,2024年3月27-28日北方大风过程,2024-03-27,2024-03-28,内蒙古/山西/河北/京津/东北西部,中国气象局,https://www.cma.gov.cn/wmhd/2011wzbft/2011wftzb/202403/t20240328_6164747.html,北方大范围大风过程，局地阵风强并伴随沙尘。
E202403_NORTH_CHINA_FIRE_WEATHER,wildfire_weather,,2024年3月北方春季大风干燥高火险天气,2024-03-01,2024-03-31,内蒙古/河北/山西/北京,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202503/W020250302606211127018.pdf,北方春季大风、低湿、少雨天气增多，林草区火险气象风险升高。
E202402_XJ_COLDWAVE,cold_wave,,2024年2月新疆特强寒潮,2024-02-01,2024-02-29,新疆,新疆气象局,https://xj.cma.gov.cn/xwzx/qxyw/202501/t20250115_6801676.html,-52.3摄氏度刷新低温纪录
E202402_HUBEI_FREEZING_RAIN,freezing_rain,,2024年2月湖北湖南冻雨雨凇过程,2024-02-01,2024-02-07,湖北/湖南/河南南部/安徽,中国气象局,https://www.cma.gov.cn/ztbd/2024zt/20240130/2014072109/202402/t20240201_6049656.html,中东部低温雨雪冰冻过程中，湖北、湖南等地冻雨和电线积冰影响明显。
E202402_CE_SNOWICE,freezing_rain,,2024年2月中东部低温雨雪冰冻过程,2024-02-01,2024-02-07,河南/湖北/湖南/安徽/江苏,中国气象局,https://www.cma.gov.cn/ztbd/2024zt/20240130/2014072109/202402/t20240201_6049656.html,2009年以来冬季最强雨雪冰冻天气过程之一。
E2024_ALTAY_SNOW,blizzard,,2024年新疆阿勒泰强降雪,2024-01-01,2024-03-31,新疆阿勒泰,新疆气象局,https://xj.cma.gov.cn/xwzx/qxyw/202501/t20250115_6801676.html,积雪超2米适合积雪深度分析
E20231214_NATIONAL_COLD_AIR_WIND,strong_wind,,2023年12月中旬全国寒潮大风过程,2023-12-13,2023-12-17,西北/华北/黄淮/江淮/东北,中国气象局,https://www.cma.gov.cn/2011xzt/20160518/202312/t20231225_5972798.html,全国性寒潮过程中多地出现大风和显著降温。
E20231213_NORTH_BLIZZARD,blizzard,,2023年12月中旬北方大范围暴雪低温过程,2023-12-13,2023-12-16,华北/黄淮/东北,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202402/W020240223586744867426.pdf,寒潮背景下北方多地出现强降雪和道路结冰。
E20231213_NATIONAL_COLDWAVE,cold_wave,,2023年12月13-24日全国性寒潮低温过程,2023-12-13,2023-12-24,全国大部地区,中国气象局,https://www.cma.gov.cn/2011xzt/20160518/202312/t20231225_5972798.html,12月中旬以来持续低温冰冻，北方及南方部分地区出现显著降温。
E20231105_NE_COLDWAVE,cold_wave,,2023年11月5-7日东北强寒潮过程,2023-11-05,2023-11-07,内蒙古东部/东北地区,中国气象局,https://www.cma.gov.cn/zfxxgk/gknr/tfsjyd/tfsjydqk/202311/t20231107_5872790.html,东北地区出现下半年以来最强雨雪过程，并伴随寒潮和大风。
E20231105_NE_BLIZZARD,blizzard,,2023年11月5-7日东北暴雪到特大暴雪过程,2023-11-05,2023-11-07,黑龙江/吉林/辽宁/内蒙古东部,中国气象局,https://www.cma.gov.cn/zfxxgk/gknr/tfsjyd/tfsjydqk/202311/t20231107_5872790.html,内蒙古东南部、吉林西部、黑龙江南部和东部、辽宁北部普遍出现暴雪到大暴雪。
E20231028_JJJ_STAGNATION,heat_stagnation,stagnation,2023年10月底京津冀及周边静稳污染过程,2023-10-28,2023-11-02,京津冀及周边,中国气象局,https://www.cma.gov.cn/wmhd/2011wzbft/2011wftzb/202310/t20231031_5862687.html,10月28日起大气扩散条件转差，京津冀及周边出现静稳污染天气。
E20230801_XJ_HEAT,heat_stagnation,heat,2023年8月1-7日新疆区域性高温,2023-08-01,2023-08-07,新疆吐鲁番/哈密/巴州等,新疆气象局,https://xj.cma.gov.cn/zfxxgk/zwgk/qxtjsj/202308/t20230810_5706030.html,托克逊最高45.5摄氏度
E20230729_NORTH_CHINA_HEAVYRAIN,heavy_rain,,2023年7月底至8月初华北黄淮极端强降雨,2023-07-29,2023-08-02,京津冀/河南/山东/山西,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202402/W020240223586744867426.pdf,华北黄淮出现极端强降雨过程，累计雨量和短时雨强极端性强。
E202307_SOUTHWEST_DROUGHT,drought,,2023年夏季西南地区气象干旱,2023-07-01,2023-09-30,云南/贵州/四川南部/重庆,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202402/W020240223586744867426.pdf,西南部分地区降水偏少、气温偏高，出现阶段性气象干旱。
E20230622_NORTH_HEAT,heat_stagnation,heat,2023年6月下旬华北黄淮高温过程,2023-06-22,2023-06-30,华北/黄淮/陕西关中,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202402/W020240223586744867426.pdf,2023年全国高温日数偏多，华北黄淮阶段性高温极端性强。
E20230617_SOUTH_CHINA_HEAVYRAIN,heavy_rain,,2023年6月华南江南强降水过程,2023-06-17,2023-06-25,广西/广东/湖南/江西/福建,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202402/W020240223586744867426.pdf,华南江南多地出现持续强降水，局地雨量极端性强。
E20230611_NORTH_CHINA_THUNDERSTORM_HAIL,hail,,2023年6月中旬华北黄淮冰雹过程,2023-06-11,2023-06-13,河北/河南/山东/山西,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202402/W020240223586744867426.pdf,华北黄淮局地出现大风、冰雹和短时强降水。
E202306_XJ_HEAT,heat_stagnation,heat,2023年夏季新疆极端高温,2023-06-01,2023-08-31,新疆,新疆气象局,https://xj.cma.gov.cn/xwzx/mtjj/202402/t20240206_6062080.html,新疆1961年以来最热夏季高温日数历史第一多
E202305_SOUTHWEST_FIRE_WEATHER,wildfire_weather,,2023年5月西南高温少雨高火险天气,2023-05-01,2023-05-31,云南/四川南部/贵州西部,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202402/W020240223586744867426.pdf,西南部分地区高温少雨、空气干燥，森林火险气象风险偏高。
E20230418_SANDSTORM,sandstorm,,2023年4月18-21日西北沙尘暴过程,2023-04-18,2023-04-21,新疆/甘肃/内蒙古/宁夏,国家气候中心/中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/202401/t20240119_6016036.html,甘肃民勤最低能见度110米
E20230409_NORTH_SANDSTORM,sandstorm,,2023年4月9-14日北方第八次大范围沙尘天气,2023-04-09,2023-04-14,内蒙古/华北/东北/黄淮/江淮,中国气象局,https://www.cma.gov.cn/ztbd/2023zt/20230324/2023032404/202304/t20230411_5432742.html,2023年以来第8次大范围沙尘天气过程，达到沙尘暴级别。
E20230409_NORTH_GALE_DUST,strong_wind,,2023年4月9-14日北方大风沙尘过程,2023-04-09,2023-04-14,内蒙古/华北/东北/黄淮/江淮,中国气象局,https://www.cma.gov.cn/ztbd/2023zt/20230324/2023032404/202304/t20230411_5432742.html,大风和沙尘共同影响北方多地，是当年较强的大范围大风沙尘天气。
E20230322_NORTH_SANDSTORM,sandstorm,,2023年3月22-23日北方大范围沙尘暴,2023-03-22,2023-03-23,新疆/甘肃/宁夏/内蒙古/华北/东北,中国气象局/国家气候中心,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xzytq/202303/t20230322_5385633.html,北方多地出现扬沙、浮尘和沙尘暴天气。
E20230319_SANDSTORM,sandstorm,,2023年3月19-24日北方强沙尘过程,2023-03-19,2023-03-24,新疆/甘肃/内蒙古/宁夏/陕西北部,国家气候中心/中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/202401/t20240119_6016036.html,春季沙尘过程显著偏多
E20221126_NATIONAL_COLDWAVE_WIND,strong_wind,,2022年11月底强寒潮大风过程,2022-11-26,2022-12-01,新疆/西北/华北/黄淮/东北,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/202212/t20221202_5209168.html,入冬以来最强寒潮影响我国，多地伴随大风天气。
E20221126_COLDWAVE,cold_wave,,2022年11月26日至12月1日强寒潮,2022-11-26,2022-12-01,新疆/甘肃/青海/川渝部分地区,中国气象局,https://www.cma.gov.cn/2011xwzx/2011xqxxw/2011xqxyw/202212/t20221202_5209168.html,入冬以来最强寒潮综合强度为历史同期第五
E20221105_CHENGDU_STAGNATION,heat_stagnation,stagnation,2022年11月成都持续静稳天气,2022-11-05,2022-11-11,四川成都,天府发布,https://m.thepaper.cn/newsDetail_forward_20625855,成都受高空波动气流和低空南风气流影响出现约一周静稳天气，扩散条件转差。
E202209_YANGTZE_FIRE_WEATHER,wildfire_weather,,2022年9月长江流域高温少雨高火险天气,2022-09-01,2022-09-30,四川盆地/江南/江淮/华南北部,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202303/P020230712369377066477.pdf,长江流域高温干旱延续，植被和林区火险气象条件偏高。
E202209_SOUTH_HEAT,heat_stagnation,heat,2022年9月南方秋老虎高温过程,2022-09-01,2022-09-30,江南/华南/重庆/贵州东部,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202303/P020230712369377066477.pdf,2022年南方秋老虎天气明显，高温过程延续至秋季。
E20220813_CQSC_HEAT,heat_stagnation,heat,2022年8月13-23日四川盆地极端高温,2022-08-13,2022-08-23,四川/重庆,中国气象局,https://www.cma.gov.cn/ztbd/2022zt/20221031/2022103103/202210/t20221031_5157497.html,重庆北碚最高45摄氏度
E202208_CHONGQING_FIRE_WEATHER,wildfire_weather,,2022年8月川渝高温干旱高火险天气,2022-08-01,2022-08-31,重庆/四川东部,中国气象局,https://www.cma.gov.cn/ztbd/2022zt/20221031/2022103103/202210/t20221031_5157497.html,川渝持续高温少雨，森林火险气象等级高，重庆多地发生山火。
E202207_YANGTZE_DROUGHT,drought,,2022年7-10月长江流域严重气象干旱,2022-07-01,2022-10-31,四川盆地/江汉/江淮/江南/长江中下游,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202303/P020230712369377066477.pdf,长江流域出现1961年以来最严重气象干旱之一，高温少雨持续时间长。
E202207_CE_HEATWAVE,heat_stagnation,heat,2022年7-8月中东部最强高温热浪过程,2022-07-01,2022-08-31,四川盆地/江汉/江淮/江南/华南,中国气象局气候公报,https://www.cma.gov.cn/zfxxgk/gknr/qxbg/202303/P020230712369377066477.pdf,2022年夏季我国中东部出现1961年以来最强高温过程。
